Discipline,Titel,Beschrijving,Publicatiedatum,Publicatietijd
brandweer,p 1 bzb-02 middel br br woning caco beatrixstraat rijsbergen 203261,Woningbrand op Beatrixstraat in Rijsbergen,2024-01-01,01:26:45
brandweer,p 1 bzb-02 br buiten beatrixstraat rijsbergen 203232,Buitenbrand op Beatrixstraat in Rijsbergen,2024-01-01,01:26:45
brandweer,p 1 bob-10 br wegvervoer auto saturnusweg eindhoven 222331,Geen beschrijving beschikbaar,2024-01-01,01:26:37
brandweer,p 2 kaz-483 br buiten salvador dalistraat vlissingen 194431,Geen beschrijving beschikbaar,2024-01-01,01:26:37
politie,"prio 1 n207 - alphenseweg,8 boskp ongeval wegvervoer letsel",Ongeval met letsel op Alphenseweg in Boskoop,2024-01-01,01:33:10
politie,"prio 1 n207 li - henegouwerweg,4 waddxv ongeval wegvervoer letsel",Ongeval met letsel op Henegouwerweg in Waddinxveen,2024-01-01,01:29:59
politie,1 ongeval wegvervoer materieel van noortwijckstraat rotterdam icnum 714,Politie naar Van Noortwijckstraat in Rotterdam voor Ongeval Wegvervoer Materieel,2024-01-01,01:29:22
politie,aanrijding letsel a2 li geleen,Politie naar A2 in Geleen voor ongeval met letsel,2024-01-01,01:22:10
politie,ongeval/wegvervoer/letsel prio 1 groningen zuiderpark oosterweg,Ongeval met letsel op Zuiderpark in Groningen,2024-01-01,01:20:01
politie,veiligheid en openbare orde/explosief/munitie/explosie prio 1 midwolda anna maria horalaan,Geen beschrijving beschikbaar,2024-01-01,01:19:43
politie,1 ongeval wegvervoer letsel middeldijk barendrecht icnum 529,Politie naar Middeldijk in Barendrecht voor ongeval met letsel,2024-01-01,01:15:41
politie,1 ongeval wegvervoer materieel westblaak rotterdam icnum 553,Politie naar Westblaak in Rotterdam voor Ongeval Wegvervoer Materieel,2024-01-01,01:14:22
politie,1 afgevallen lading maasboulevard rotterdam icnum 590,Geen beschrijving beschikbaar,2024-01-01,01:13:18
politie,aanrijding letsel poortdreef almere,Politie naar Almere voor ongeval met letsel,2024-01-01,01:09:03
politie,"ongeval wegvervoer letsel a50 re - dassenbaan,9 schaijk",Politie naar Dassenbaan in Schaijk voor ongeval met letsel,2024-01-01,01:08:44
politie,1 steekpartij troubadourlaan hoogvliet rotterdam icnum 413,Politie naar Troubadourlaan in Hoogvliet Rotterdam voor steekpartij,2024-01-01,01:05:35
politie,prio 1 pickeplein ndwkzh schietpartij,Schietpartij op Picképlein in Noordwijk,2024-01-01,01:05:06
