Discipline,Titel,Beschrijving,Publicatiedatum,Publicatietijd
brandweer,p 1 brt-03 ass. ambu tilassistentie hoorntandmos rotterdam 171131,Assistentie ambulance op Hoorntandmos in Rotterdam,2023-10-31,15:29:52
brandweer,p 1 399223 letsel gerard van swietenstraat ringbaan-oost gerard van swietenstraat tilburg,Ongeval met letsel op Gerard van Swietenstraat in Tilburg,2023-10-31,15:22:06
brandweer,p 1 399223 letsel gerard van swiete,Brandweer met spoed voor ongeval met letsel,2023-10-31,15:22:06
brandweer,p 2 bnh-04 stank/hind. lucht binnen dr de visserstraat zandvoort 123340,Brandweer met gepaste spoed naar Dr de Visserstraat in Zandvoort,2023-10-31,15:20:33
brandweer,p 2 bnh-03 contact mkb 12-kazerne haarlem-oost floris van adrichemlaan haarlem 121205 121586 121283,Brandweer met gepaste spoed naar Floris van Adrichemlaan in Haarlem,2023-10-31,15:18:29
brandweer,p 1 bad-02 ass. politie deur openen eerste jan van der heijdenstraat amsterdam 133231,Brandweer met spoed naar Eerste Jan van der Heijdenstraat in Amsterdam  assistentie politie,2023-10-31,15:17:52
brandweer,p 1 399217 letsel heusdenhoutsestraat breda,Geen beschrijving beschikbaar,2023-10-31,15:16:51
politie,1 ongeval wegvervoer letsel oranjeboomstraat rotterdam icnum 586024,Politie naar Oranjeboomstraat in Rotterdam voor ongeval met letsel,2023-10-31,16:49:29
politie,bel oc 274599,Politie,2023-10-31,16:47:12
politie,aanrijding letsel n345 - weg naar voorst zutphen 685137,Politie naar Weg naar Voorst in Zutphen voor ongeval met letsel,2023-10-31,16:46:15
politie,"aanrijding letsel a1 li 159,1 hengelo 685141",Politie naar A1 in Hengelo voor ongeval met letsel,2023-10-31,16:43:54
politie,ongeval/wegvervoer/letsel prio 1 roden oosteinde,Ongeval met letsel op Oosteinde in Roden,2023-10-31,16:43:05
politie,"prio 1, graag contact kwc",Politie met spoed,2023-10-31,16:42:27
politie,1 voertuig te water zwaluwenlaan vlaardingen icnum 585997,Politie naar Zwaluwenlaan in Vlaardingen voor Voertuig te water,2023-10-31,16:38:18
politie,1 ongeval wegvervoer letsel zwaluwenlaan vlaardingen icnum 585992,Politie naar Zwaluwenlaan in Vlaardingen voor ongeval met letsel,2023-10-31,16:37:42
politie,ongeval wegvervoer letsel helftheuvelweg vlijmenseweg 's-hertogenbosch,Politie naar Helftheuvelweg in Den Bosch voor ongeval met letsel,2023-10-31,16:33:46
politie,bel oc 274582,Politie,2023-10-31,16:31:36
politie,aanrijding letsel gronausestraat rechterlaan enschede 685091,Politie naar Gronausestraat in Enschede voor ongeval met letsel,2023-10-31,16:31:36
politie,aanrijding letsel tahitistraat almere,Politie naar Tahitistraat in Almere voor ongeval met letsel,2023-10-31,16:29:10
politie,1 ongeval wegvervoer letsel bst provincialeweg goedereede icnum 585964,Politie naar Provincialeweg in Goedereede voor ongeval met letsel,2023-10-31,16:25:22
politie,1 ongeval wegvervoer letsel bst provincialeweg goedereede icnum 585962,Politie naar Provincialeweg in Goedereede voor ongeval met letsel,2023-10-31,16:25:22
politie,"ongeval/wegvervoer/letsel prio 1 meppel a32 re 7,5",Ongeval met letsel op A32 in Meppel,2023-10-31,16:21:22
politie,1 ongeval wegvervoer letsel oost-sidelinge rotterdam icnum 585947,Politie naar Oost-Sidelinge in Rotterdam voor ongeval met letsel,2023-10-31,16:19:58
politie,1 ongeval wegvervoer letsel oost-sidelinge rotterdam icnum 585948,Politie naar Oost-Sidelinge in Rotterdam voor ongeval met letsel,2023-10-31,16:19:45
politie,incident apeldoorn 684907 graag contact oc apeldoorn,Politie naar Apeldoorn,2023-10-31,16:16:50
politie,aanrijding letsel dalweg zeist,Politie naar Dalweg in Zeist voor ongeval met letsel,2023-10-31,16:14:05
politie,ongeval wegvervoer letsel gestelsestraathg waalre,Politie naar Gestelsestraat in Waalre voor ongeval met letsel,2023-10-31,16:08:46
politie,aanrijding letsel veldscholteweg weerseloseweg enschede 685043,Politie naar Veldscholteweg in Enschede voor ongeval met letsel,2023-10-31,16:06:19
politie,p 4 ongeval wegvervoer letsel gooiseweg amsterdam,Politie naar Gooiseweg in Amsterdam voor ongeval met letsel,2023-10-31,16:05:18
politie,prio 1 reinier de graafweg delft ongeval wegvervoer letsel bus,Ongeval met letsel op Reinier de Graafweg in Delft,2023-10-31,16:05:11
politie,ongeval wegvervoer letsel roelantlaan huizingalaan eindhoven,Politie naar Roelantlaan in Eindhoven voor ongeval met letsel,2023-10-31,16:03:37
politie,aanrijding letsel kerkstraat leveroy,Politie naar Kerkstraat in Leveroy voor ongeval met letsel,2023-10-31,16:00:23
politie,aanrijding letsel parkzichtlaan utrecht,Politie naar Parkzichtlaan in Utrecht voor ongeval met letsel,2023-10-31,15:55:16
