Discipline,Titel,Beschrijving,Publicatiedatum,Publicatietijd
brandweer,p 2 brt-03 liftopsluiting oranjestraat arkel 188331,Geen beschrijving beschikbaar,2023-10-31,13:07:52
brandweer,p 2 bdh-01 wateroverlast bosdreef leiderdorp 164130,Wateroverlast op Bosdreef in Leiderdorp,2023-10-31,13:07:16
brandweer,oefening!! oms drukknopmelding exxonmobil chemical rop merwedeweg europoort rotterdam 171531 171561,Brandweer naar Merwedeweg in Europoort Rotterdam voor automatisch brandalarm dit betreft een oefening,2023-10-31,13:04:37
brandweer,p 2 hv overig stationsweg nieuwersluis 093831,Brandweer met gepaste spoed naar Stationsweg in Nieuwersluis,2023-10-31,13:03:29
brandweer,p 1 bon-02 stank/hind. lucht gaslucht binnen somp de tankstation shell bst a50 re klarenbeek apeldoorn 063141,Gaslucht op A50,2023-10-31,12:59:13
brandweer,p 1 bzb-01 ass. ambu afhijsen larixplein waalwijk 207151,Assistentie ambulance voor afhijsen patiënt op Larixplein in Waalwijk,2023-10-31,12:52:18
brandweer,p 1 bnn-02 middel wo voertuig te water rijksstraatweg noordhorn 038210,Voertuig te water op Rijksstraatweg in Noordhorn,2023-10-31,12:52:04
brandweer,p 2 herbezet./kazerneren kazerne spijkenisse spijkenisse sk22,Brandweer met gepaste spoed naar Spijkenisse,2023-10-31,12:49:10
politie,graag contact oc apeldoorn gms 776,Politie naar Apeldoorn,2023-10-31,14:20:46
politie,aanrijding letsel hoogkuil beek li,Politie naar Hoogkuil in Beek voor ongeval met letsel,2023-10-31,14:14:42
politie,2 ongeval wegvervoer materieel capelseweg rotterdam icnum 585718,Politie naar Capelseweg in Rotterdam voor Ongeval Wegvervoer Materieel,2023-10-31,14:14:07
politie,graag contact politie meldkamer -gms594,Politie,2023-10-31,14:08:41
politie,prio 1 binckhorstlaan rotterdamsebaan rechts sgravh ongeval wegvervoer letsel,Ongeval met letsel op Binckhorstlaan in Den Haag,2023-10-31,14:04:18
politie,u bent nu actief in de functie communicatie politie piket actief.,Politie,2023-10-31,13:57:31
politie,2 ongeval wegvervoer materieel plaszoom rotterdam icnum 585666,Politie naar Plaszoom in Rotterdam voor Ongeval Wegvervoer Materieel,2023-10-31,13:52:12
politie,svp. contact mka man,Politie  voor contact met de meldkamer opnemen,2023-10-31,13:50:38
politie,u bent niet langer actief in de functie ovd-p copi piket.,Politie,2023-10-31,13:46:31
politie,u bent nu actief in de functie ovd-p copi piket.,Politie,2023-10-31,13:46:31
politie,contact kwc aub,Politie,2023-10-31,13:34:08
politie,prio 1 kerkpad traar ongeval wegvervoer letsel,Ongeval met letsel op Kerkpad in Ter Aar,2023-10-31,13:30:12
politie,aanrijding letsel schurenbergsvoetpad hoensbroek,Politie naar Hoensbroek voor ongeval met letsel,2023-10-31,13:20:46
politie,ongeval wegvervoer letsel hofse hoeve schaijk,Politie naar Hofse Hoeve in Schaijk voor ongeval met letsel,2023-10-31,13:19:35
politie,prio 1 louis couperusplein sgravh ongeval wegvervoer letsel,Ongeval met letsel op Louis Couperusplein in Den Haag,2023-10-31,13:18:55
politie,graag contact meldkamer politie -gms 594,Politie,2023-10-31,13:10:20
politie,2 ongeval wegvervoer materieel boezemstraat rotterdam icnum 585569,Politie naar Boezemstraat in Rotterdam voor Ongeval Wegvervoer Materieel,2023-10-31,13:06:50
politie,ongeval wegvervoer letsel mecklenburgstraat mauritsstraat eindhoven,Politie naar Mecklenburgstraat in Eindhoven voor ongeval met letsel,2023-10-31,12:55:40
politie,aanrijding letsel meerssenerweg maastricht,Politie naar Meerssenerweg in Maastricht voor ongeval met letsel,2023-10-31,12:52:11
politie,systeemtest p 2 brt-08 grip 3 testmelding mil. operationeel adv. stuurloos/op drift dam alblasserdam,Politie met gepaste spoed naar Dam in Alblasserdam  zeer grootschalig incident (grip 3),2023-10-31,12:52:04
politie,prio 1 apeldoornselaan heelsumstraat sgravh ongeval wegvervoer letsel,Ongeval met letsel op Apeldoornselaan in Den Haag,2023-10-31,12:50:27
politie,ongeval/wegvervoer/voertuig te water prio 1 zuidhorn rijksstraatweg,Voertuig te water op Rijksstraatweg in Zuidhorn,2023-10-31,12:48:52
politie,"aanrijding letsel a1 li 118,9 holten 684515",Politie naar A1 in Holten voor ongeval met letsel,2023-10-31,12:44:26
politie,2 loslopende dieren cornelisweer hardinxveld-giessend icnum 585494,Politie naar Dieren,2023-10-31,12:31:39
politie,2 ongeval wegvervoer materieel spinozaweg rotterdam icnum 585487,Politie naar Spinozaweg in Rotterdam voor Ongeval Wegvervoer Materieel,2023-10-31,12:28:24
politie,"1 spookrijder a16 re - kp ridderkerk-noord 25,1 x ridderkerk icnum 585453",Politie naar A16 in Ridderkerk,2023-10-31,12:15:56
politie,"ongeval/wegvervoer/letsel prio 1 oudega smallingerland n31 li - n31 64,7",Politie met spoed voor ongeval met letsel,2023-10-31,12:11:44
politie,systeemtest p 2 brt-08 grip 2 testmelding stuurloos/op drift dam alblasserdam 189791 189796,Politie met gepaste spoed naar Dam in Alblasserdam,2023-10-31,12:04:41
politie,1 ongeval wegvervoer letsel dam alblasserdam icnum 585407,Politie naar Dam in Alblasserdam voor ongeval met letsel,2023-10-31,12:04:41
politie,u bent niet langer actief in de functie ca rot piket.,Politie,2023-10-31,11:57:50
politie,2 dienst aan derden dam alblasserdam icnum 585376,Politie naar Dam in Alblasserdam,2023-10-31,11:53:57
politie,1 schip/watersp. in problemen dam alblasserdam icnum 585416,Politie naar Dam in Alblasserdam voor waterongeval,2023-10-31,11:52:25
politie,aanrijding letsel flediteweg zeewolde,Politie naar Flediteweg in Zeewolde voor ongeval met letsel,2023-10-31,11:44:54
politie,prio 1 emmapark pijnak ongeval wegvervoer letsel,Ongeval met letsel op Emmapark in Pijnacker,2023-10-31,11:35:38
politie,1 ongeval wegvervoer letsel molendijk sliedrecht icnum 585384,Politie naar Molendijk in Sliedrecht voor ongeval met letsel,2023-10-31,11:34:59
politie,graag contact meldkamer politie gms681,Politie,2023-10-31,11:29:46
politie,2 ongeval wegvervoer materieel maashaven z.z. rotterdam icnum 585344,Politie naar Maashaven Z.z. in Rotterdam voor Ongeval Wegvervoer Materieel,2023-10-31,11:12:30
politie,aanrijding letsel albert heijn haven noord ommen 684336,Politie naar Haven Noord in Ommen voor ongeval met letsel,2023-10-31,11:03:16
politie,prio 1 veerpolder warmnd ongeval wegvervoer letsel,Geen beschrijving beschikbaar,2023-10-31,10:58:40
politie,aanrijding letsel trichterweg brunssum,Politie naar Trichterweg in Brunssum voor ongeval met letsel,2023-10-31,10:50:23
politie,aanrijding letsel maastrichterstraat brunssum,Politie naar Maastrichterstraat in Brunssum voor ongeval met letsel,2023-10-31,10:50:23
politie,aanrijding letsel richterslaan kerkhoflaan lichtenvoorde 684300,Politie naar Kerkhoflaan in Lichtenvoorde voor ongeval met letsel,2023-10-31,10:50:03
politie,aanrijding letsel dorpsstraat enschede 684289,Politie naar Dorpsstraat in Enschede voor ongeval met letsel,2023-10-31,10:45:43
politie,"aanrijding letsel a1 li 65,0 stroe 684285",Politie naar A1 in Stroe voor ongeval met letsel,2023-10-31,10:44:35
politie,1 ongeval wegvervoer letsel zestienhovensekade rotterdam icnum 585259,Politie naar Zestienhovensekade in Rotterdam voor ongeval met letsel,2023-10-31,10:43:14
politie,2 ongeval wegvervoer materieel zestienhovensekade rotterdam icnum 585264,Politie naar Zestienhovensekade in Rotterdam voor Ongeval Wegvervoer Materieel,2023-10-31,10:32:12
politie,svp. contact mka man,Politie  voor contact met de meldkamer opnemen,2023-10-31,10:25:01
politie,prio 1 oostduinlaan sgravh ongeval wegvervoer letsel,Ongeval met letsel op Oostduinlaan in Den Haag,2023-10-31,10:17:20
